StartDate,EndDate,CONTINUE_STUDY,DELETE_CONTROL,DELETE_TREATMENT,K1,K2,K3,K4,K5,Q1,Q2,Q3,ATT1,Q5,Q6,Q7,Q8,Q1,Q2,ATT2,Q4,Q5,Q6,Q7,Q8,Q1,Q2,Q3,Q4,ATT3,Q6,Q7,SC0,SC1,PROLIFIC_PID,HistoryCheck,Knowledge Score,Attention Score
2026-02-12 16:42:09,2026-02-12 17:32:31,Yes,,Yes,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,4,3,a24f389cd821c7e68f8912ba13ea34e1d268939dd5e22571def73bed45cb0832,,4,3
2026-02-12 16:57:28,2026-02-12 17:36:16,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly Disagree,Agree,Strongly agree,Strongly Disagree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,5,3,b7414351e89f1928503e8f73647f907bce6ce9dbf5dd1a6e1cf45bdf0ec9b740,,5,3
2026-02-12 18:36:18,2026-02-12 19:03:51,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Agree,5,3,073b19d8400e1f554df7c1fea9fdc0049634fcbf0d590456edd1d7735ad23fed,,5,3
2026-02-13 8:55:40,2026-02-13 9:39:07,Yes,Yes,,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly Disagree,Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly agree,4,3,cf06f0faebbc6a7b7e988aea14b2a1b76554991e1e42fa00c709af225539a5db,,4,3
2026-02-13 16:51:03,2026-02-13 17:12:47,Yes,Yes,,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,4,3,089f297c95a73c13f43af5e2e070f40dacaa13816b879874ddc0bb9acfad0e62,,4,3
2026-03-11 17:05:54,2026-03-11 17:47:49,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,5,3,56b760696d7447006998fd2dae738fab7b9d2f3e33d0c549f996ed472cf4eaf9,Pass,5,3
2026-03-11 17:13:04,2026-03-11 18:02:16,Yes,,Yes,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,4,3,cf9cc22e39716d1ca3ce96f4855488de418f37f2d0422a8eb17c7d6c66ccde23,Pass,4,3
2026-03-11 18:24:04,2026-03-11 19:10:44,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,5,3,bce97f1afb4585ddd5c87e5fc6ec6b0f1045446418d2c3a85d6dc29e335fa698,No JSON,5,3
2026-03-11 19:18:51,2026-03-11 20:04:50,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,5,3,79be1f048b50589b229d1fb83ffbb04dacd18b04b4bc1ce56be452a63e2b575b,No File,5,3
2026-03-11 19:58:30,2026-03-11 20:38:58,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,5,3,54dd68afbbb3d5f5dae816555a692233ebac1614dc71e93086f5d9624fb6cdcc,Pass,5,3
2026-03-11 20:09:07,2026-03-11 20:49:56,Yes,Yes,,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Strongly Disagree,Disagree,Strongly agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,4,3,e43d44eec7fbb9047fa99085f6d8a48c18836a41b1360f620bb78f9b4d11b7df,Pass,4,3
2026-03-11 21:07:46,2026-03-11 21:44:14,Yes,Yes,,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Strongly Disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,4,3,6c1eb8623b18c19cc79ab4827e6bd999162d79dd131aef22370114c675f49b82,Pass,4,3
2026-03-11 21:09:58,2026-03-11 21:49:34,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,5,3,f34f3ac005025ab4fd0960b5d0a1403346182859779c792f6c78c592454c05ec,Pass,5,3
2026-03-11 21:13:18,2026-03-11 21:59:20,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,5,3,9e05ab6a23383ed68859e280ff196a5d0e9d10fdabecea5bbfb54c275943741c,Pass,5,3
2026-03-11 21:20:28,2026-03-11 22:02:44,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,5,3,6e30613be2a9ed6cf3db91228ef4c81fd6cc3572b0ca0da0a4803e8c899ef81d,Pass,5,3
2026-03-11 21:23:37,2026-03-11 22:04:44,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,5,3,74313ee3b37a031b824893c9786bd9fb311c35ffad07a0b4a0c885af597b7a40,Pass,5,3
2026-03-11 21:34:20,2026-03-11 22:11:17,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,5,3,05a0f1cd480433c2c5e8883b48f8607184ca585db22571f4839c11c4160acd9c,Pass,5,3
2026-03-11 21:29:52,2026-03-11 22:16:23,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Strongly agree,5,3,6397d1dd1b9ebdba9d1b7fb2269d1abce49d09cdf8f9394d310fa7cf34f56d09,No JSON,5,3
2026-03-11 21:57:41,2026-03-11 22:35:40,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,5,3,12144f96ec917dff33b1e29737a89dce0325c1154eefa84f7ffb1b3ab86384ea,No File,5,3
2026-03-11 22:03:32,2026-03-11 22:48:42,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,5,3,ea10fbfa0e9a95dec88639355c503216899c7852747fc0520eebfc5ec7d44833,Pass,5,3
2026-03-11 21:51:41,2026-03-11 22:59:59,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,5,3,db98689fe8a7677b9a92cf683b8f00b723c5bcb5bb9cf7ab5587fd8fcd0ea0a5,Pass,5,3
2026-03-11 22:15:39,2026-03-11 23:04:03,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Strongly Disagree,Agree,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,5,3,bd40840d9e19a7fabda003803e6405ad1de6d47cc6d5758734f632868db558cd,Pass,5,3
2026-03-11 22:44:12,2026-03-11 23:27:55,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Strongly agree,Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,5,3,2eca06a35991db891d92a1ba49a143a1aaad1bf4169cc4be79bf8e6ff9bd6caa,Pass,5,3
2026-03-11 23:26:02,2026-03-12 0:08:26,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,5,3,f38aa54ca8d24c4b8a7efe3d560af793a1f89fccc7d453c69e22a5f31a306c7a,No JSON,5,3
2026-03-11 23:47:30,2026-03-12 0:34:16,Yes,,Yes,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,3,1628b368dbe581988a18d567ac3c1fc0f4f5f6fb5e8394c29c15425ae94b8445,Pass,4,3
2026-03-11 23:59:28,2026-03-12 0:43:04,Yes,Yes,,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Neither agree nor disagree,Agree,Disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Strongly Disagree,Somewhat disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,4,3,4e4daff5c788b0cdcbcb8a163eff4849344a9eeebd9b457c7c7342fc891a5d8f,Pass,4,3
2026-03-12 0:21:17,2026-03-12 1:02:11,Yes,,Yes,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4,3,72151a642e782823ed58360bb68e3ab0f200483f803b4f4ebfe0746a9c75267c,No File,4,3
2026-03-12 0:20:31,2026-03-12 1:04:37,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,5,3,0ec80ff80b476591a4641f77e1f6b74030de6dd034e10796d6ac3db251c2ec5a,Pass,5,3
2026-03-12 0:27:56,2026-03-12 1:13:43,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,5,3,351c41ecabbb919830af453ee68c603a097e01bb3513b31804c464f169e96c00,Pass,5,3
2026-03-12 1:18:48,2026-03-12 1:41:32,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,5,3,7a3c5ff81317ccf530f3fea23d3a4efdb00528fa6ba762f2edab5b4f8bca26a4,No File,5,3
2026-03-12 1:35:22,2026-03-12 2:25:35,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,5,3,ddfc74ccaccd8331aa629a35fa3b5f52eebf6d67faa625e2d5c3348425341c0b,Pass,5,3
